,growth_INDPRO,growth_PAYEMS,growth_RSXFS,growth_HOUST,growth_PERMIT,growth_UMCSENT,growth_ICSA_neg,growth_CUMFNS,growth_DGORDER,growth_NEWORDER,liquidity_M2,liquidity_WALCL_3mdiff,liquidity_net_liquidity_level,liquidity_net_liquidity_3mdiff,liquidity_RRPONTSYD_neg,liquidity_WTREGEN_1mdiff_neg,liquidity_WLRRAL,risk_vix_term_struct,risk_VIXCLS_neg,risk_HY_OAS_neg,risk_NFCI_neg,risk_copper_gold_ratio,risk_DTWEXBGS_neg
1970-01-31,,,,,,,,,,,,,,,,,,,,,,,
1970-02-28,,,,,,,,,,,,,,,,,,,,,,,
1970-03-31,,,,,,,,,,,,,,,,,,,,,,,
1970-04-30,,,,,,,,,,,,,,,,,,,,,,,
1970-05-31,,,,,,,,,,,,,,,,,,,,,,,
1970-06-30,,,,,,,,,,,,,,,,,,,,,,,
1970-07-31,,,,,,,,,,,,,,,,,,,,,,,
1970-08-31,,,,,,,,,,,,,,,,,,,,,,,
1970-09-30,,,,,,,,,,,,,,,,,,,,,,,
1970-10-31,,,,,,,,,,,,,,,,,,,,,,,
1970-11-30,,,,,,,,,,,,,,,,,,,,,,,
1970-12-31,,,,,,,,,,,,,,,,,,,,,,,
1971-01-31,,,,,,,,,,,,,,,,,,,,,,,
1971-02-28,,,,,,,,,,,,,,,,,,,,,,,
1971-03-31,,,,,,,,,,,,,,,,,,,,,,,
1971-04-30,,,,,,,,,,,,,,,,,,,,,,,
1971-05-31,,,,,,,,,,,,,,,,,,,,,,,
1971-06-30,,,,,,,,,,,,,,,,,,,,,,,
1971-07-31,,,,,,,,,,,,,,,,,,,,,,,
1971-08-31,,,,,,,,,,,,,,,,,,,,,,,
1971-09-30,,,,,,,,,,,,,,,,,,,,,,,
1971-10-31,,,,,,,,,,,,,,,,,,,,,,,
1971-11-30,,,,,,,,,,,,,,,,,,,,,,,
1971-12-31,1.3741306387646062,,,-1.605763046311382,,,1.509249044808505,1.3097710070002042,,,0.6427657733438152,,,,,,,,,,0.09846771064981648,,
1972-01-31,1.6661311772135918,,,-0.48594377576201164,,,0.4048889636221838,1.5404292734691554,,,0.6197202229091096,,,,,,,,,,0.797021512684422,,
1972-02-29,1.7481856241198626,,,-0.4060439184478017,,,0.6841382547835781,1.5204585042954997,,,0.5012619517964021,,,,,,,,,,1.474677796571645,,
1972-03-31,1.7120884987275162,,,-1.4000249833189484,,,0.6245137924110933,1.5342167929828958,,,0.3038186126172949,,,,,,,,,,1.7563647883582292,,
1972-04-30,1.613629866025525,,,-1.7642118009639127,,,0.3208923636067148,1.4883720652159256,,,-0.08602385503774566,,,,,,,,,,1.8101406071213293,,
1972-05-31,1.3460263059352089,,,-1.8002900052401212,,,0.506067669937251,1.2611051602474057,,,-0.44684812391223866,,,,,,,,,,1.755445354479203,,
1972-06-30,1.2106361784082547,,,-1.470756367629456,,,-0.18048279341887383,1.1903511936007511,,,-0.48418572380053526,,,,,,,,,,1.3329593730880953,,
1972-07-31,1.1755284717174554,,,-1.5037220176872106,,,1.1716057574267056,1.074689899836419,,,-0.26146512224127083,,,,,,,,,,1.069370677565296,,
1972-08-31,1.5409518688036403,,,-1.2800622444464842,,,0.7391103945981193,1.4932601688142106,,,-0.027262641292930424,,,,,,,,,,1.2637196446365617,,
1972-09-30,1.2483892070385079,,,-0.6381305853391918,,,0.9930503496232623,1.1575301766644903,,,0.1291597750339374,,,,,,,,,,1.544174446070479,,
1972-10-31,1.2898860549589966,,,-0.8704864835167917,,,0.8626635319395963,1.0768261746911072,,,0.3040871786990074,,,,,,,,,,1.5152926646560396,,
1972-11-30,1.3774900252765603,,,-1.1380400986712966,,,0.6927906272953415,1.1835216872794587,,,0.29839642927149457,,,,,,,,,,1.5023590920022765,,
1972-12-31,1.2888470007231672,,,-1.4694182501775768,,,0.07345775120784635,1.1861835912387535,,,0.4742989583588697,,,,,,,,,,1.3511230223701076,,
1973-01-31,0.870386213786475,,,-1.5469101100895484,,,1.0656409171868393,0.7888956913037933,,,0.42971943016455716,,,,,,,,,,0.6948894008155589,,
1973-02-28,0.9325617401795314,,,-1.6142808997405482,,,0.5382923163551132,0.90070734558786,,,-0.07310382268329346,,,,,,,,,,-0.2376785402167592,,
1973-03-31,0.7590924504219617,,,-1.2658219845111243,,,0.6643297528059653,0.7607143057359053,,,-0.7834324793674625,,,,,,,,,,-0.7381240435196248,,
1973-04-30,0.4800512192033043,,,-1.5874449749780069,,,0.2427169416327657,0.4746579377360795,,,-0.857575669329736,,,,,,,,,,-0.6183393454770357,,
1973-05-31,0.622965984525692,,,-1.0895328705645932,,,0.23152752266558693,0.5485991780209145,,,-0.6787266202835531,,,,,,,,,,-0.4877848642254503,,
1973-06-30,0.5786324424982606,,,-1.4984889528533534,,,0.756516089491597,0.4547912127354677,,,-0.7201764054045059,,,,,,,,,,-0.711360299387715,,
1973-07-31,0.6763499313514099,,,-1.3147816805019716,,,-0.8274648238189499,0.5216098997549752,,,-1.3927211704127918,,,,,,,,,,-1.31479053700023,,
1973-08-31,0.29867631439210757,,,-1.596410258649096,,,-0.4433549810601643,0.16058534900611723,,,-1.9578770666560232,,,,,,,,,,-1.9870638774343476,,
1973-09-30,0.294159543993732,,,-1.9186805339424264,,,-0.6310366249105726,0.13543820215396585,,,-2.49804936823452,,,,,,,,,,-1.9669403104092773,,
1973-10-31,0.18641678414047705,,,-2.077427765770212,,,-0.7246113024105612,0.035666254302978796,,,-2.600669128921449,,,,,,,,,,-1.6294639871221048,,
1973-11-30,0.004248437926638032,,,-1.8029000879435533,,,-0.5969236231461343,-0.09434611886607439,,,-2.4048042709894966,,,,,,,,,,-1.3849083007400862,,
1973-12-31,-0.3439530446059249,,,-1.9243456245308017,,,-3.1100999397959814,-0.3788106325464785,,,-2.316283499310977,,,,,,,,,,-0.9451233662624174,,
1974-01-31,-0.6798184915337825,,,-1.9975347450144585,,,-2.865074993897736,-0.7184538957861865,,,-2.3340586078956864,,,,,,,,,,-0.010276253311668973,,
1974-02-28,-1.0832648347966125,,,-1.3001855935129525,,,-2.4532014282416204,-1.1244004267926506,,,-2.1301517997492265,,,,,,,,,,0.6899389982453666,,
1974-03-31,-1.0639860563847827,,,-1.6037065619134894,,,-2.803251980983797,-1.150308594081096,,,-1.7829171753188273,,,,,,,,,,0.2502309515024211,,
1974-04-30,-1.069816430389239,,,-1.1724010778137903,,,-1.274226975095677,-1.1664744581083337,,,-1.7766648757428138,,,,,,,,,,-1.1433993300113703,,
1974-05-31,-1.0164617104651732,,,-1.5885493203679086,,,-1.7497376499188255,-1.107453962638515,,,-1.9356150174892168,,,,,,,,,,-3.0220058668180467,,
1974-06-30,-1.0649156760730005,,,-1.204122986741495,,,-2.0210230768271646,-1.066232925511819,,,-1.9768542229081154,,,,,,,,,,-3.5770735516172536,,
1974-07-31,-1.0713554348410248,,,-1.5185966620794307,,,-1.4730045121003996,-1.1063576839169875,,,-1.86042184336164,,,,,,,,,,-3.3066186788924368,,
1974-08-31,-1.2589460644891204,,,-1.6515858561950696,,,-1.8835903116259856,-1.1941179911934638,,,-1.7593424802174786,,,,,,,,,,-2.570438227935893,,
1974-09-30,-1.4007359033279987,,,-1.4172598094471693,,,-2.1941750512912677,-1.2944169007290942,,,-1.5592458943288763,,,,,,,,,,-1.9548184609744277,,
1974-10-31,-1.59606752451596,,,-1.299353483690924,,,-3.1500272902152964,-1.5496181957484885,,,-1.431083678249884,,,,,,,,,,-1.3743041129037263,,
1974-11-30,-2.279716080973047,,,-1.3895846525016502,,,-3.613462625914645,-2.1216891634000534,,,-1.436551208473244,,,,,,,,,,-0.9422247104833601,,
1974-12-31,-2.702920129757708,,,-1.2192445242071088,,,-2.494075996711204,-2.6833297911153657,,,-1.5175259095685345,,,,,,,,,,-0.7152822934472264,,
