,leading_USSLIND,leading_T10Y2Y,leading_T10Y3M,leading_PERMIT,leading_HOUST,leading_ICSA,leading_UMCSENT,leading_NEWORDER,leading_DGORDER,coincident_PAYEMS,coincident_UNRATE,coincident_INDPRO,coincident_PI,coincident_RSXFS,coincident_CMRMTSPL,lagging_UEMPMEAN,lagging_CPIAUCSL,lagging_ISRATIO,RECESSION,leading_USSLIND_MoM,leading_USSLIND_3M,leading_USSLIND_6M,leading_USSLIND_YoY,leading_USSLIND_MA3,leading_USSLIND_MA6,leading_USSLIND_Vol6M,leading_T10Y2Y_MoM,leading_T10Y2Y_3M,leading_T10Y2Y_6M,leading_T10Y2Y_YoY,leading_T10Y2Y_MA3,leading_T10Y2Y_MA6,leading_T10Y2Y_Vol6M,leading_T10Y3M_MoM,leading_T10Y3M_3M,leading_T10Y3M_6M,leading_T10Y3M_YoY,leading_T10Y3M_MA3,leading_T10Y3M_MA6,leading_T10Y3M_Vol6M,leading_PERMIT_MoM,leading_PERMIT_3M,leading_PERMIT_6M,leading_PERMIT_YoY,leading_PERMIT_MA3,leading_PERMIT_MA6,leading_PERMIT_Vol6M,leading_HOUST_MoM,leading_HOUST_3M,leading_HOUST_6M,leading_HOUST_YoY,leading_HOUST_MA3,leading_HOUST_MA6,leading_HOUST_Vol6M,leading_ICSA_MoM,leading_ICSA_3M,leading_ICSA_6M,leading_ICSA_YoY,leading_ICSA_MA3,leading_ICSA_MA6,leading_ICSA_Vol6M,leading_UMCSENT_MoM,leading_UMCSENT_3M,leading_UMCSENT_6M,leading_UMCSENT_YoY,leading_UMCSENT_MA3,leading_UMCSENT_MA6,leading_UMCSENT_Vol6M,leading_NEWORDER_MoM,leading_NEWORDER_3M,leading_NEWORDER_6M,leading_NEWORDER_YoY,leading_NEWORDER_MA3,leading_NEWORDER_MA6,leading_NEWORDER_Vol6M,leading_DGORDER_MoM,leading_DGORDER_3M,leading_DGORDER_6M,leading_DGORDER_YoY,leading_DGORDER_MA3,leading_DGORDER_MA6,leading_DGORDER_Vol6M,coincident_PAYEMS_MoM,coincident_PAYEMS_3M,coincident_PAYEMS_6M,coincident_PAYEMS_YoY,coincident_PAYEMS_MA3,coincident_PAYEMS_MA6,coincident_PAYEMS_Vol6M,coincident_UNRATE_MoM,coincident_UNRATE_3M,coincident_UNRATE_6M,coincident_UNRATE_YoY,coincident_UNRATE_MA3,coincident_UNRATE_MA6,coincident_UNRATE_Vol6M,coincident_INDPRO_MoM,coincident_INDPRO_3M,coincident_INDPRO_6M,coincident_INDPRO_YoY,coincident_INDPRO_MA3,coincident_INDPRO_MA6,coincident_INDPRO_Vol6M,coincident_PI_MoM,coincident_PI_3M,coincident_PI_6M,coincident_PI_YoY,coincident_PI_MA3,coincident_PI_MA6,coincident_PI_Vol6M,coincident_RSXFS_MoM,coincident_RSXFS_3M,coincident_RSXFS_6M,coincident_RSXFS_YoY,coincident_RSXFS_MA3,coincident_RSXFS_MA6,coincident_RSXFS_Vol6M,coincident_CMRMTSPL_MoM,coincident_CMRMTSPL_3M,coincident_CMRMTSPL_6M,coincident_CMRMTSPL_YoY,coincident_CMRMTSPL_MA3,coincident_CMRMTSPL_MA6,coincident_CMRMTSPL_Vol6M,lagging_UEMPMEAN_MoM,lagging_UEMPMEAN_3M,lagging_UEMPMEAN_6M,lagging_UEMPMEAN_YoY,lagging_UEMPMEAN_MA3,lagging_UEMPMEAN_MA6,lagging_UEMPMEAN_Vol6M,lagging_CPIAUCSL_MoM,lagging_CPIAUCSL_3M,lagging_CPIAUCSL_6M,lagging_CPIAUCSL_YoY,lagging_CPIAUCSL_MA3,lagging_CPIAUCSL_MA6,lagging_CPIAUCSL_Vol6M,lagging_ISRATIO_MoM,lagging_ISRATIO_3M,lagging_ISRATIO_6M,lagging_ISRATIO_YoY,lagging_ISRATIO_MA3,lagging_ISRATIO_MA6,lagging_ISRATIO_Vol6M
1970-01-31,,,,1062.0,1085.0,239000.0,,,,71176.0,3.9,37.9948,836.4,,400169.499,7.9,37.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-28,,,,1118.0,1305.0,242000.0,78.1,,,71305.0,4.2,37.9698,841.8,,400525.176,8.0,38.1,,1.0,,,,,,,,,,,,,,,,,,,,,,0.052730696798493515,,,,,,,0.20276497695852536,,,,,,,0.012552301255230214,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018124086770821002,,,,,,,0.0769230769230771,,,,,,,-0.0006579847768641844,,,,,,,0.0064562410329984665,,,,,,,,,,,,,,0.0008888158664985824,,,,,,,0.012658227848101111,,,,,,,0.005277044854881341,,,,,,,,,,,,,
1970-03-31,,,,1132.0,1319.0,276000.0,,,,71451.0,4.4,37.9205,847.1,,395844.908,8.3,38.3,,1.0,,,,,,,,,,,,,,,,,,,,,,0.012522361359570633,,,,1104.0,,,0.01072796934865905,,,,1236.3333333333333,,,0.14049586776859502,,,,252333.33333333334,,,0.0,,,,,,,,,,,,,,,,,,,,,0.002047542248089229,,,,71310.66666666667,,,0.04761904761904767,,,,4.166666666666667,,,-0.001298400307612968,,,,37.9617,,,0.006296032311713162,,,,841.7666666666668,,,,,,,,,,-0.011685327865632034,,,,398846.5276666667,,,0.03750000000000009,,,,8.066666666666668,,,0.005249343832020914,,,,38.1,,,,,,,,,
1970-04-30,,,,1224.0,1264.0,349000.0,,,,71348.0,4.6,37.823,859.9,,393844.229,8.2,38.5,,1.0,,,,,,,,,,,,,,,,,,,,,,0.08127208480565362,0.15254237288135597,,,1158.0,,,-0.04169825625473844,0.16497695852534555,,,1296.0,,,0.26449275362318847,0.4602510460251046,,,289000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0014415473541308232,0.0024165449027762076,,,71368.0,,,0.04545454545454519,0.17948717948717952,,,4.3999999999999995,,,-0.002571168629105558,-0.004521671386610748,,,37.90443333333334,,,0.01511037657891623,0.0280966044954567,,,849.5999999999999,,,,,,,,,,-0.005054199156200867,-0.015806477044868483,,,396738.10433333326,,,-0.012048192771084487,0.037974683544303556,,,8.166666666666666,,,0.005221932114882533,0.0158311345646438,,,38.300000000000004,,,,,,,,,
1970-05-31,,,,1328.0,1290.0,301000.0,75.4,,,71124.0,4.8,37.7789,857.7,,398121.957,8.6,38.6,,1.0,,,,,,,,,,,,,,,,,,,,,,0.08496732026143783,0.18783542039355994,,,1228.0,,,0.020569620253164667,-0.011494252873563204,,,1291.0,,,-0.13753581661891112,0.24380165289256195,,,308666.6666666667,,,-0.03457106274007671,-0.03457106274007671,,,,,,,,,,,,,,,,,,,,-0.0031395414027022284,-0.0025383914171516198,,,71307.66666666667,,,0.04347826086956519,0.1428571428571428,,,4.6000000000000005,,,-0.0011659572217962433,-0.005027679892967596,,,37.8408,,,-0.002558437027561311,0.018888096935139043,,,854.9000000000001,,,,,,,,,,0.0108614718333222,-0.0060001696372763424,,,395937.03133333335,,,0.04878048780487809,0.07499999999999996,,,8.366666666666667,,,0.0025974025974027093,0.013123359580052396,,,38.46666666666667,,,,,,,,,
1970-06-30,,,,1322.0,1385.0,291000.0,,,,71029.0,4.9,37.6567,862.6,,399716.493,8.6,38.8,,1.0,,,,,,,,,,,,,,,,,,,,,,-0.004518072289156572,0.16784452296819796,,,1291.3333333333333,1197.6666666666667,111.53773651400084,0.07364341085271309,0.05003790750568604,,,1313.0,1274.6666666666667,101.37192247691999,-0.03322259136212624,0.05434782608695654,,,313666.6666666667,283000.0,41012.193308819755,0.0,-0.03457106274007671,,,,,,,,,,,,,,,,,,,,-0.0013356954052078374,-0.00590614547032231,,,71167.0,71238.83333333333,156.50867920555447,0.02083333333333348,0.11363636363636354,,,4.766666666666667,4.466666666666667,0.3777124126457411,-0.0032346097954149,-0.0069566593267492705,,,37.75286666666667,37.857283333333335,0.12893420673609302,0.005712953247056118,0.018297721638531383,,,860.0666666666666,850.9166666666666,10.69231811473395,,,,,,,,0.00400514458437673,0.009780560319851306,,,397227.55966666667,398037.04366666666,2681.457894666238,0.0,0.036144578313252795,,,8.466666666666667,8.266666666666667,0.2943920288775952,0.005181347150258864,0.01305483028720622,,,38.63333333333333,38.36666666666667,0.33266599866332197,,,,,,,
1970-07-31,,,,1324.0,1517.0,287000.0,,,,71053.0,5.0,37.7491,870.6,,400143.064,8.9,38.9,,1.0,,,,,,,,,,,,,,,,,,,,,,0.001512859304084735,0.08169934640522869,0.24670433145009407,,1324.6666666666667,1241.3333333333333,98.3029331539334,0.0953068592057762,0.20015822784810133,0.39815668202764987,,1397.3333333333333,1346.6666666666667,92.76781050917766,-0.013745704467353903,-0.1776504297994269,0.2008368200836821,,293000.0,291000.0,34945.672121165444,0.0,-0.03457106274007671,,,,,,,,,,,,,,,,,,,,0.00033789015754126517,-0.004134663900880242,-0.001728110599078292,,71068.66666666667,71218.33333333333,173.51618560430487,0.020408163265306145,0.0869565217391306,0.28205128205128216,,4.9,4.65,0.30822070014844866,0.0024537466108287553,-0.0019538376120350476,-0.0064666743870214205,,37.72823333333333,37.81633333333333,0.11476195653031157,0.00927428703918376,0.012443307361321043,0.04088952654232436,,863.6333333333333,856.6166666666668,10.52034536822193,,,,,,,,0.0010671838852542859,0.01599321390589692,-6.60595074488679e-05,,399327.1713333333,398032.63783333334,2677.2718065929334,0.03488372093023262,0.08536585365853666,0.12658227848101267,,8.700000000000001,8.433333333333334,0.32659863237109177,0.002577319587628857,0.010389610389610393,0.02638522427440626,,38.766666666666666,38.53333333333333,0.3011090610836293,,,,,,,
1970-08-31,,,,1394.0,1399.0,297000.0,77.6,,,70937.0,5.1,37.6818,875.1,,399958.016,8.8,39.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.052870090634441036,0.04969879518072284,0.2468694096601074,,1346.6666666666667,1287.3333333333333,93.50650601250554,-0.07778510217534607,0.08449612403100781,0.07203065134099607,,1433.6666666666667,1362.3333333333333,92.25977816289557,0.03484320557491283,-0.013289036544850474,0.2272727272727273,,291666.6666666667,300166.6666666667,25443.40124013821,0.029177718832890998,0.029177718832890998,-0.006402048655569814,,,,,,,,,,,,,,,,,,,-0.0016325841273415742,-0.0026292109555142718,-0.005160928406142573,,71006.33333333333,71157.0,199.80290288182195,0.020000000000000018,0.0625,0.2142857142857142,,5.000000000000001,4.800000000000001,0.2607680962081056,-0.0017828239613658647,-0.0025702177670603454,-0.0075849754278399795,,37.69586666666667,37.76833333333334,0.09651397135474443,0.005168849069607129,0.020286813571178675,0.039558089807555374,,869.4333333333334,862.1666666666666,9.906294295379547,,,,,,,,-0.000462454598488371,0.004611800398640176,-0.0014160408233613309,,399939.19100000005,397938.11116666667,2579.9086983847747,-0.011235955056179692,0.023255813953488413,0.10000000000000009,,8.766666666666667,8.566666666666668,0.27325202042559205,0.0025706940874037354,0.010362694300518172,0.023622047244094446,,38.9,38.68333333333333,0.2639444385977206,,,,,,,
1970-09-30,,,,1426.0,1534.0,333000.0,,,,70944.0,5.4,37.4221,878.4,,399263.486,8.9,39.2,,1.0,,,,,,,,,,,,,,,,,,,,,,0.022955523672883782,0.07866868381240555,0.2597173144876326,,1381.3333333333333,1336.3333333333333,69.87321852231204,0.09649749821300935,0.10758122743682308,0.1630022744503412,,1483.3333333333333,1398.1666666666667,111.75583504527509,0.1212121212121211,0.14432989690721643,0.2065217391304348,,305666.6666666667,309666.6666666667,25256.02238411002,0.0,0.029177718832890998,-0.006402048655569814,,,,,,,,,,,,,,,,,,,9.867910963246018e-05,-0.0011966943079587677,-0.00709577192761468,,70978.0,71072.5,152.11673149264428,0.05882352941176494,0.1020408163265305,0.2272727272727273,,5.166666666666667,4.966666666666667,0.2732520204255892,-0.006891921298876391,-0.0062299670443772825,-0.013143286612781968,,37.61766666666667,37.68526666666667,0.14275652933110972,0.0037709976002742174,0.01831671690238812,0.03694959272813114,,874.6999999999999,867.3833333333333,8.531217185529261,,,,,,,,-0.001736507263802478,-0.0011333207609225404,0.00863615504686499,,399788.1886666667,398507.8741666667,2396.121205401886,0.011363636363636243,0.03488372093023262,0.07228915662650603,,8.866666666666667,8.666666666666666,0.2658320271650292,0.00512820512820511,0.01030927835051565,0.023498694516971508,,39.03333333333334,38.833333333333336,0.25819888974716154,,,,,,,
1970-10-31,,,,1564.0,1580.0,327000.0,,,,70521.0,5.5,36.6735,879.7,,395109.523,8.7,39.4,,1.0,,,,,,,,,,,,,,,,,,,,,,0.09677419354838701,0.18126888217522663,0.2777777777777777,,1461.3333333333333,1393.0,94.1891713521259,0.02998696219035213,0.041529334212261126,0.25,,1504.3333333333333,1450.8333333333333,110.33298086549996,-0.018018018018018056,0.13937282229965153,-0.0630372492836676,,319000.0,306000.0,19297.66825292631,0.0,0.029177718832890998,-0.006402048655569814,,,,,,,,,,,,,,,,,,,-0.005962449255751068,-0.007487368584014775,-0.011591074732298035,,70800.66666666667,70934.66666666667,214.45807671122577,0.01851851851851838,0.10000000000000009,0.19565217391304368,,5.333333333333333,5.116666666666667,0.2786873995477128,-0.02000422210405095,-0.028493394544505724,-0.03039156069058513,,37.25913333333333,37.49368333333333,0.4210400000791656,0.0014799635701274738,0.010452561451872233,0.023025933248052244,,877.7333333333335,870.6833333333334,8.879958708612884,,,,,,,,-0.01040406434762231,-0.012579353368474266,0.0032126762482027615,,398110.3416666666,398718.75649999996,1909.940334943564,-0.022471910112359716,-0.022471910112359716,0.060975609756097615,,8.799999999999999,8.75,0.13784048752091105,0.005102040816326481,0.01285347043701801,0.023376623376623273,,39.199999999999996,38.983333333333334,0.28577380332470803,,,,,,,
1970-11-30,,,,1502.0,1647.0,337000.0,72.4,,,70409.0,5.9,36.4514,882.3,,388477.842,9.3,39.6,,1.0,,,,,,,,,,,,,,,,,,,,,,-0.039641943734015306,0.07747489239598271,0.13102409638554224,,1497.3333333333333,1422.0,96.92058604857974,0.042405063291139244,0.17726947819871341,0.27674418604651163,,1587.0,1510.3333333333333,102.21480649429823,0.030581039755351647,0.13468013468013473,0.11960132890365438,,332333.3333333333,312000.0,22724.43618662518,-0.06701030927835039,-0.06701030927835039,-0.039787798408488007,,,,,,,,,,,,,,,,,,,-0.0015881794075524036,-0.007443224269422122,-0.010052865418142987,,70624.66666666667,70815.5,277.573593844976,0.07272727272727275,0.15686274509803932,0.22916666666666674,,5.600000000000001,5.300000000000001,0.37416573867739367,-0.006056144082239201,-0.032652367986667374,-0.0351386620573918,,36.849,37.27243333333333,0.5652733910831667,0.0029555530294418375,0.00822763112787106,0.02868135711787323,,880.1333333333333,874.7833333333334,7.208166664740017,,,,,,,,-0.016784411951518474,-0.02870344771387201,-0.02422402188684103,,394283.6169999999,397111.40400000004,4631.587810088371,0.06896551724137945,0.05681818181818188,0.08139534883720945,,8.966666666666667,8.866666666666667,0.24221202832780558,0.005076142131979822,0.01538461538461533,0.02590673575129543,,39.4,39.15,0.30822070014845576,,,,,,,
1970-12-31,,,,1767.0,1893.0,321000.0,,,,70792.0,6.1,37.2885,889.2,,400806.352,9.8,39.8,,0.0,,,,,,,,,,,,,,,,,,,,,,0.17643142476697737,0.23913043478260865,0.3366111951588502,,1611.0,1496.1666666666667,156.83675164535526,0.14936247723132978,0.2340286831812255,0.3667870036101084,,1706.6666666666667,1595.0,167.3045127903017,-0.047477744807121636,-0.036036036036036,0.10309278350515472,,328333.3333333333,317000.0,20356.81703999915,0.0,-0.06701030927835039,-0.039787798408488007,,,,,,,,,,,,,,,,,,,0.005439645499865087,-0.0021425349571493335,-0.003336665305720188,,70574.0,70776.0,257.232968338075,0.03389830508474567,0.12962962962962954,0.2448979591836733,,5.833333333333333,5.5,0.4335896677735751,0.022964824396319417,-0.003570082918916917,-0.009777808464363602,,36.80446666666666,37.21106666666667,0.5343542071198302,0.007820469228153826,0.012295081967213184,0.03083700440528636,,883.7333333333332,879.2166666666667,6.344577737459629,,,,,,,,0.03173542649570216,0.003864280241244078,0.0027265800112981076,,394797.90566666663,397293.04716666666,4773.38904338623,0.053763440860215006,0.101123595505618,0.13953488372093026,,9.266666666666667,9.066666666666666,0.4131182235954627,0.005050505050504972,0.015306122448979442,0.025773195876288568,,39.6,39.31666666666667,0.3488074922742782,,,,,,,
1971-01-31,,,,1643.0,1828.0,292000.0,,,,70865.0,5.9,37.5753,898.8,,404733.211,10.5,39.9,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.07017543859649122,0.05051150895140655,0.24093655589123864,0.5470809792843692,1637.3333333333333,1549.3333333333333,139.96237589676326,-0.03433703116745901,0.15696202531645564,0.20500988793671726,0.6847926267281106,1789.3333333333333,1646.8333333333333,185.49330625838473,-0.09034267912772587,-0.10703363914373087,0.017421602787456525,0.2217573221757323,316666.6666666667,317833.3333333333,18935.856639367186,0.0,-0.06701030927835039,-0.039787798408488007,,,,,,,,,,,,,,,,,,,0.0010311899649677603,0.0048779796089108984,-0.002645912206381107,-0.00436945037653147,70688.66666666667,70744.66666666667,226.3383897324641,-0.032786885245901565,0.07272727272727275,0.18000000000000016,0.512820512820513,5.966666666666666,5.6499999999999995,0.3781534080237793,0.007691379379701546,0.024589962779663743,-0.004604083276157578,-0.011040984555781286,37.105066666666666,37.1821,0.5031547952668205,0.010796221322536992,0.02171194725474579,0.03239145416953826,0.07460545193687218,890.1,883.9166666666666,8.694691867264,,,,,,,,0.009797397123087581,0.024357013536218997,0.01147126468747195,0.011404447393927875,398005.8016666667,398058.0716666667,5615.123895348245,0.0714285714285714,0.20689655172413812,0.1797752808988764,0.3291139240506329,9.866666666666667,9.333333333333334,0.7004760286167341,0.002512562814070307,0.012690355329949332,0.02570694087403602,0.05277044854881274,39.76666666666667,39.483333333333334,0.3488074922742782,,,,,,,
1971-02-28,,,,1588.0,1741.0,290000.0,78.1,,,70807.0,5.9,37.5037,903.2,,406993.438,10.4,39.9,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.033475349969567914,0.05725699067909451,0.13916786226685796,0.4203935599284436,1666.0,1581.6666666666667,117.50858124693221,-0.04759299781181614,0.05707346690953252,0.24446032880629032,0.3340996168582375,1820.6666666666667,1703.8333333333333,141.41487427660132,-0.006849315068493178,-0.13946587537091992,-0.023569023569023573,0.19834710743801653,301000.0,316666.6666666667,20617.144968852175,0.07872928176795568,0.07872928176795568,0.006443298969072142,0.0,,,,,,,,,,,,,,,,,,-0.0008184576307063152,0.005652686446334876,-0.001832612036032022,-0.006984082462660357,70821.33333333333,70723.0,209.86757729582484,0.0,0.0,0.15686274509803932,0.4047619047619049,5.966666666666668,5.783333333333334,0.27141603981096085,-0.001905507075126378,0.028868575692565956,-0.004726419650865954,-0.012275545301792423,37.45583333333333,37.15241666666666,0.4720727927625808,0.004895416110369588,0.02368808795194388,0.032110615929608066,0.07293894036588267,897.0666666666666,888.6,10.397114984456021,,,,,,,,0.00558448612214324,0.04766191014827559,0.017590401288519297,0.016149451738834086,404177.6670000001,399230.642,6717.581971542642,-0.00952380952380949,0.11827956989247301,0.18181818181818166,0.30000000000000004,10.233333333333334,9.600000000000001,0.7589466384404153,0.0,0.007575757575757569,0.023076923076922995,0.04724409448818889,39.86666666666667,39.63333333333333,0.2875181153713113,,,,,,,
1971-03-31,,,,1759.0,1910.0,300000.0,,,,70860.0,6.0,37.4631,909.0,,408681.699,10.6,40.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.10768261964735526,-0.004527447651386574,0.23352033660589067,0.5538869257950529,1663.3333333333333,1637.1666666666667,107.49403084202812,0.09707064905226881,0.00898045430533534,0.2451108213820079,0.4480667172100077,1826.3333333333333,1766.5,134.23077143487006,0.034482758620689724,-0.06542056074766356,-0.09909909909909909,0.08695652173913038,294000.0,311166.6666666667,19772.87704575808,0.0,0.07872928176795568,0.006443298969072142,0.0,,,,,,,,,,,,,,,,,,0.0007485135650429076,0.0009605605153124586,-0.0011840324763193744,-0.008271402779527204,70844.0,70709.0,194.40884753534226,0.016949152542372836,-0.016393442622950727,0.11111111111111094,0.36363636363636354,5.933333333333334,5.883333333333333,0.20412414523192682,-0.0010825598540945558,0.004682408785550374,0.001095609279008869,-0.012062077240542757,37.51403333333334,37.15924999999999,0.4770279813595798,0.006421612046058511,0.022267206477732726,0.0348360655737705,0.07307283673710296,903.6666666666666,893.6999999999999,11.803050453166744,,,,,,,,0.004148128304712451,0.01964875796179988,0.023588966510200926,0.032428839529243136,406802.7826666667,400800.3441666667,7748.124264086843,0.019230769230769162,0.08163265306122436,0.1910112359550562,0.27710843373493965,10.5,9.883333333333333,0.7626707459098421,0.0025062656641603454,0.005025125628140836,0.020408163265306145,0.044386422976501416,39.93333333333333,39.76666666666667,0.22509257354846574,,,,,,,
