origin_date,label,category,actual_forward,prob_vintage,prob_simulated,prob_revised,gap_vintage_vs_simulated,gap_vintage_vs_revised,gap_simulated_vs_revised,threshold_vintage,threshold_simulated,threshold_revised,signal_vintage,signal_simulated,signal_revised,alfred_ok_count,alfred_coverage,train_rows,status_vintage,status_simulated,status_revised
1990-02,S&L (positive window),recession_peak,1.0,0.476393296617163,0.4773076923076923,0.36833333333333335,-0.0009143956905293127,0.10805996328382966,0.10897435897435898,0.43,0.16,0.16,1,1,1,6,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_unavailable"", ""leading_HOUST"": ""alfred_ok""}",236,ok,ok,ok
2000-10,Dot-com (positive window),recession_peak,1.0,0.3,0.46393779309126487,0.3672619047619048,-0.16393779309126488,-0.0672619047619048,0.09667588832936008,0.31,0.38,0.38,0,1,0,7,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",364,ok,ok,ok
2007-07,GFC (positive window),recession_peak,1.0,0.8347488732877079,0.8419982090231358,0.7404999792547926,-0.007249335735427964,0.09424889403291525,0.10149822976834322,0.48,0.54,0.54,1,1,1,8,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",445,ok,ok,ok
2007-12,GFC peak month,recession_peak,1.0,0.8781512605042017,0.9913875144933688,0.9738824334113079,-0.11323625398916715,-0.0957311729071062,0.017505081082060947,0.52,0.54,0.54,1,1,1,8,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",450,ok,ok,ok
2019-09,COVID (positive window),recession_peak,1.0,0.21481092436974789,0.24776104897963142,0.0885185194015503,-0.03295012460988353,0.1262924049681976,0.1592425295780811,0.39,0.36,0.36,0,0,0,8,"{""coincident_PAYEMS"": ""alfred_unavailable"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",591,ok,ok,ok
1986-06,Expansion check (mid 1980s),expansion,0.0,0.13333333333333333,0.14,0.0,-0.006666666666666682,0.13333333333333333,0.14,0.36,0.41,0.41,0,0,0,6,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_unavailable"", ""leading_HOUST"": ""alfred_ok""}",192,ok,ok,ok
1995-06,Expansion check (mid 1990s),expansion,0.0,0.7522989783588687,0.7717517833513727,0.35,-0.019452804992504014,0.40229897835886874,0.42175178335137276,0.42,0.46,0.46,1,1,0,6,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_unavailable"", ""leading_HOUST"": ""alfred_ok""}",300,ok,ok,ok
1998-06,Expansion check (late 1990s),expansion,0.0,0.14333333333333334,0.15269607843137253,0.02222222222222222,-0.009362745098039194,0.12111111111111111,0.1304738562091503,0.26,0.22,0.22,0,0,0,6,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_unavailable"", ""leading_HOUST"": ""alfred_ok""}",336,ok,ok,ok
2004-06,Expansion check (mid 2000s),expansion,0.0,0.1,0.2166666666666667,0.023333333333333334,-0.1166666666666667,0.07666666666666667,0.19333333333333336,0.42,0.39,0.39,0,0,0,8,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",408,ok,ok,ok
2014-06,Expansion check (mid 2010s),expansion,0.0,0.0382936228527231,0.056428571428571425,0.015,-0.018134948575848325,0.0232936228527231,0.041428571428571426,0.34,0.36,0.36,0,0,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",528,ok,ok,ok
2017-06,Expansion check (late 2010s),expansion,0.0,0.13666098895448017,0.17448082917139926,0.01875,-0.03781984021691909,0.11791098895448017,0.15573082917139927,0.36,0.43,0.43,0,0,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",564,ok,ok,ok
2023-06,Expansion check (recent cycle),expansion,0.0,0.6787089356627894,0.8493645032246907,0.492637104170983,-0.17065556756190126,0.18607183149180645,0.3567273990537077,0.52,0.59,0.59,1,1,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",636,ok,ok,ok
1992-06,Expansion check (early 1990s),expansion,0.0,0.18092794720232613,0.20595238095238094,0.0,-0.02502443375005481,0.18092794720232613,0.20595238095238094,0.44,0.43,0.43,0,0,0,6,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_unavailable"", ""leading_HOUST"": ""alfred_ok""}",264,ok,ok,ok
2002-06,Expansion check (early 2000s),expansion,0.0,0.3263888888888889,0.30861861005507746,0.0375,0.017770278833811437,0.2888888888888889,0.2711186100550775,0.35,0.28,0.28,0,1,0,8,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",384,ok,ok,ok
2010-06,Expansion check (early 2010s),expansion,0.0,0.4496031746031746,0.25,0.16904761904761903,0.19960317460317462,0.28055555555555556,0.08095238095238097,0.51,0.48,0.48,0,0,0,8,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",480,ok,ok,ok
2020-10,Expansion check (post-COVID recovery),expansion,0.0,0.04570332383708191,0.0,0.0,0.04570332383708191,0.04570332383708191,0.0,0.58,0.58,0.58,0,0,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",604,ok,ok,ok
1988-06,Expansion check (late 1980s),expansion,0.0,0.5857142857142856,0.455,0.28,0.13071428571428562,0.3057142857142856,0.175,0.31,0.33,0.33,1,1,0,6,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_unavailable"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_unavailable"", ""leading_HOUST"": ""alfred_ok""}",216,ok,ok,ok
2012-06,Expansion check (post-GFC recovery),expansion,0.0,0.09403587704635716,0.04444444444444444,0.0,0.04959143260191272,0.09403587704635716,0.04444444444444444,0.44,0.39,0.39,0,0,0,8,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_unavailable"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",504,ok,ok,ok
2016-06,Expansion check (mid 2010s alt),expansion,0.0,0.2263863316963037,0.19358782577146047,0.03636363636363636,0.032798505924843235,0.19002269533266736,0.15722418940782412,0.35,0.34,0.34,0,0,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",552,ok,ok,ok
2021-06,Expansion check (pandemic recovery),expansion,0.0,0.03762188193567893,0.006349206349206348,0.006349206349206348,0.031272675586472586,0.031272675586472586,0.0,0.53,0.56,0.56,0,0,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",612,ok,ok,ok
2022-06,Expansion check (recent tightening),expansion,0.0,0.2642857142857143,0.09746031765899962,0.25045625469514304,0.16682539662671467,0.013829459590571247,-0.15299593703614342,0.5,0.53,0.53,0,0,0,9,"{""coincident_PAYEMS"": ""alfred_ok"", ""coincident_UNRATE"": ""alfred_ok"", ""coincident_INDPRO"": ""alfred_ok"", ""coincident_PI"": ""alfred_ok"", ""coincident_RSXFS"": ""alfred_ok"", ""coincident_CMRMTSPL"": ""alfred_ok"", ""lagging_UEMPMEAN"": ""alfred_ok"", ""leading_PERMIT"": ""alfred_ok"", ""leading_HOUST"": ""alfred_ok""}",624,ok,ok,ok
