threshold,precision,recall,specificity,f1,f2,youdens_j,tp,fp,fn,tn,score
0.1,0.691358024691358,1.0,0.8820754716981132,0.8175182481751825,0.9180327868852459,0.8820754716981132,112,50,0,374,0.8175182481751825
0.11,0.6956521739130435,1.0,0.8844339622641509,0.8205128205128205,0.9195402298850575,0.884433962264151,112,49,0,375,0.8205128205128205
0.12,0.7,1.0,0.8867924528301887,0.8235294117647058,0.9210526315789475,0.8867924528301887,112,48,0,376,0.8235294117647058
0.13,0.7088607594936709,1.0,0.8915094339622641,0.8296296296296296,0.9240924092409242,0.891509433962264,112,46,0,378,0.8296296296296296
0.14,0.7225806451612903,1.0,0.8985849056603774,0.8389513108614232,0.9286898839137645,0.8985849056603774,112,43,0,381,0.8389513108614232
0.15,0.7272727272727273,1.0,0.9009433962264151,0.8421052631578948,0.930232558139535,0.9009433962264151,112,42,0,382,0.8421052631578948
0.16,0.7320261437908496,1.0,0.9033018867924528,0.8452830188679245,0.9317803660565724,0.9033018867924527,112,41,0,383,0.8452830188679245
0.17,0.7368421052631579,1.0,0.9056603773584906,0.8484848484848484,0.9333333333333333,0.9056603773584906,112,40,0,384,0.8484848484848484
0.18,0.7516778523489933,1.0,0.9127358490566038,0.8582375478927203,0.9380234505862646,0.9127358490566038,112,37,0,387,0.8582375478927203
0.19,0.7516778523489933,1.0,0.9127358490566038,0.8582375478927203,0.9380234505862646,0.9127358490566038,112,37,0,387,0.8582375478927203
0.2,0.7777777777777778,1.0,0.9245283018867925,0.8750000000000001,0.945945945945946,0.9245283018867925,112,32,0,392,0.8750000000000001
0.21,0.7832167832167832,1.0,0.9268867924528302,0.8784313725490196,0.9475465313028764,0.9268867924528301,112,31,0,393,0.8784313725490196
0.22,0.8,1.0,0.9339622641509434,0.888888888888889,0.9523809523809523,0.9339622641509435,112,28,0,396,0.888888888888889
0.23,0.8175182481751825,1.0,0.9410377358490566,0.8995983935742973,0.9572649572649574,0.9410377358490565,112,25,0,399,0.8995983935742973
0.24,0.8296296296296296,1.0,0.9457547169811321,0.9068825910931174,0.960548885077187,0.9457547169811322,112,23,0,401,0.9068825910931174
0.25,0.8345864661654135,0.9910714285714286,0.9481132075471698,0.9061224489795919,0.955249569707401,0.9391846361185983,111,22,1,402,0.9061224489795919
0.26,0.8671875,0.9910714285714286,0.9599056603773585,0.9249999999999999,0.9635416666666666,0.950977088948787,111,17,1,407,0.9249999999999999
0.27,0.8809523809523809,0.9910714285714286,0.964622641509434,0.9327731092436975,0.9668989547038328,0.9556940700808627,111,15,1,409,0.9327731092436975
0.28,0.8809523809523809,0.9910714285714286,0.964622641509434,0.9327731092436975,0.9668989547038328,0.9556940700808627,111,15,1,409,0.9327731092436975
0.29,0.888,0.9910714285714286,0.9669811320754716,0.9367088607594937,0.9685863874345552,0.9580525606469004,111,14,1,410,0.9367088607594937
0.3,0.888,0.9910714285714286,0.9669811320754716,0.9367088607594937,0.9685863874345552,0.9580525606469004,111,14,1,410,0.9367088607594937
0.31,0.888,0.9910714285714286,0.9669811320754716,0.9367088607594937,0.9685863874345552,0.9580525606469004,111,14,1,410,0.9367088607594937
0.32,0.8934426229508197,0.9732142857142857,0.9693396226415094,0.9316239316239318,0.956140350877193,0.9425539083557952,109,13,3,411,0.9316239316239318
0.33,0.8916666666666667,0.9553571428571429,0.9693396226415094,0.9224137931034484,0.9419014084507044,0.9246967654986524,107,13,5,411,0.9224137931034484
0.34,0.8916666666666667,0.9553571428571429,0.9693396226415094,0.9224137931034484,0.9419014084507044,0.9246967654986524,107,13,5,411,0.9224137931034484
0.35,0.8916666666666667,0.9553571428571429,0.9693396226415094,0.9224137931034484,0.9419014084507044,0.9246967654986524,107,13,5,411,0.9224137931034484
0.36,0.8974358974358975,0.9375,0.9716981132075472,0.9170305676855895,0.9292035398230089,0.9091981132075473,105,12,7,412,0.9170305676855895
0.37,0.8974358974358975,0.9375,0.9716981132075472,0.9170305676855895,0.9292035398230089,0.9091981132075473,105,12,7,412,0.9170305676855895
0.38,0.9026548672566371,0.9107142857142857,0.9740566037735849,0.9066666666666666,0.909090909090909,0.8847708894878705,102,11,10,413,0.9066666666666666
0.39,0.9,0.8839285714285714,0.9740566037735849,0.8918918918918918,0.8870967741935483,0.8579851752021563,99,11,13,413,0.8918918918918918
0.4,0.908256880733945,0.8839285714285714,0.9764150943396226,0.8959276018099548,0.8886894075403949,0.860343665768194,99,10,13,414,0.8959276018099548
0.41,0.9230769230769231,0.8571428571428571,0.9811320754716981,0.888888888888889,0.8695652173913044,0.8382749326145551,96,8,16,416,0.888888888888889
0.42,0.9215686274509803,0.8392857142857143,0.9811320754716981,0.8785046728971961,0.8545454545454546,0.8204177897574123,94,8,18,416,0.8785046728971961
0.43,0.9215686274509803,0.8392857142857143,0.9811320754716981,0.8785046728971961,0.8545454545454546,0.8204177897574123,94,8,18,416,0.8785046728971961
0.44,0.9306930693069307,0.8392857142857143,0.9834905660377359,0.8826291079812207,0.8561020036429874,0.8227762803234502,94,7,18,417,0.8826291079812207
0.45,0.9387755102040817,0.8214285714285714,0.9858490566037735,0.8761904761904763,0.8424908424908424,0.8072776280323448,92,6,20,418,0.8761904761904763
0.46,0.9578947368421052,0.8125,0.9905660377358491,0.8792270531400966,0.837937384898711,0.803066037735849,91,4,21,420,0.8792270531400966
0.47,0.9578947368421052,0.8125,0.9905660377358491,0.8792270531400966,0.837937384898711,0.803066037735849,91,4,21,420,0.8792270531400966
0.48,0.9574468085106383,0.8035714285714286,0.9905660377358491,0.8737864077669905,0.8302583025830259,0.7941374663072778,90,4,22,420,0.8737864077669905
0.49,0.9565217391304348,0.7857142857142857,0.9905660377358491,0.8627450980392156,0.8148148148148148,0.7762803234501348,88,4,24,420,0.8627450980392156
0.5,0.967032967032967,0.7857142857142857,0.9929245283018868,0.8669950738916256,0.8163265306122447,0.7786388140161726,88,3,24,421,0.8669950738916256
0.51,0.9659090909090909,0.7589285714285714,0.9929245283018868,0.8499999999999999,0.792910447761194,0.7518530997304582,85,3,27,421,0.8499999999999999
0.52,0.9659090909090909,0.7589285714285714,0.9929245283018868,0.8499999999999999,0.792910447761194,0.7518530997304582,85,3,27,421,0.8499999999999999
0.53,0.9770114942528736,0.7589285714285714,0.9952830188679245,0.8542713567839196,0.794392523364486,0.7542115902964959,85,2,27,422,0.8542713567839196
0.54,0.9764705882352941,0.7410714285714286,0.9952830188679245,0.8426395939086295,0.7786116322701688,0.7363544474393531,83,2,29,422,0.8426395939086295
0.55,0.9878048780487805,0.7232142857142857,0.9976415094339622,0.8350515463917526,0.7641509433962265,0.7208557951482479,81,1,31,423,0.8350515463917526
0.56,0.9873417721518988,0.6964285714285714,0.9976415094339622,0.8167539267015707,0.7400379506641366,0.6940700808625335,78,1,34,423,0.8167539267015707
0.57,0.9871794871794872,0.6875,0.9976415094339622,0.8105263157894737,0.7319391634980988,0.6851415094339623,77,1,35,423,0.8105263157894737
0.58,0.987012987012987,0.6785714285714286,0.9976415094339622,0.8042328042328042,0.7238095238095239,0.6762129380053907,76,1,36,423,0.8042328042328042
0.59,0.9868421052631579,0.6696428571428571,0.9976415094339622,0.7978723404255319,0.7156488549618321,0.6672843665768193,75,1,37,423,0.7978723404255319
0.6,0.9866666666666667,0.6607142857142857,0.9976415094339622,0.7914438502673796,0.7074569789674952,0.6583557951482479,74,1,38,423,0.7914438502673796
