threshold,precision,recall,specificity,f1,f2,youdens_j,tp,fp,fn,tn,score
0.1,0.6627218934911243,1.0,0.8655660377358491,0.797153024911032,0.9076175040518638,0.865566037735849,112,57,0,367,0.797153024911032
0.11,0.7088607594936709,1.0,0.8915094339622641,0.8296296296296296,0.9240924092409242,0.891509433962264,112,46,0,378,0.8296296296296296
0.12,0.717948717948718,1.0,0.8962264150943396,0.835820895522388,0.9271523178807948,0.8962264150943398,112,44,0,380,0.835820895522388
0.13,0.7225806451612903,1.0,0.8985849056603774,0.8389513108614232,0.9286898839137645,0.8985849056603774,112,43,0,381,0.8389513108614232
0.14,0.7272727272727273,1.0,0.9009433962264151,0.8421052631578948,0.930232558139535,0.9009433962264151,112,42,0,382,0.8421052631578948
0.15,0.7272727272727273,1.0,0.9009433962264151,0.8421052631578948,0.930232558139535,0.9009433962264151,112,42,0,382,0.8421052631578948
0.16,0.7417218543046358,1.0,0.9080188679245284,0.8517110266159695,0.9348914858096828,0.9080188679245285,112,39,0,385,0.8517110266159695
0.17,0.7417218543046358,1.0,0.9080188679245284,0.8517110266159695,0.9348914858096828,0.9080188679245285,112,39,0,385,0.8517110266159695
0.18,0.7516778523489933,1.0,0.9127358490566038,0.8582375478927203,0.9380234505862646,0.9127358490566038,112,37,0,387,0.8582375478927203
0.19,0.7567567567567568,1.0,0.9150943396226415,0.8615384615384616,0.9395973154362417,0.9150943396226414,112,36,0,388,0.8615384615384616
0.2,0.7619047619047619,1.0,0.9174528301886793,0.8648648648648648,0.9411764705882353,0.9174528301886793,112,35,0,389,0.8648648648648648
0.21,0.7671232876712328,1.0,0.9198113207547169,0.8682170542635659,0.9427609427609428,0.9198113207547169,112,34,0,390,0.8682170542635659
0.22,0.7777777777777778,1.0,0.9245283018867925,0.8750000000000001,0.945945945945946,0.9245283018867925,112,32,0,392,0.8750000000000001
0.23,0.7832167832167832,1.0,0.9268867924528302,0.8784313725490196,0.9475465313028764,0.9268867924528301,112,31,0,393,0.8784313725490196
0.24,0.7943262411347518,1.0,0.9316037735849056,0.8853754940711462,0.9507640067911716,0.9316037735849056,112,29,0,395,0.8853754940711462
0.25,0.8,1.0,0.9339622641509434,0.888888888888889,0.9523809523809523,0.9339622641509435,112,28,0,396,0.888888888888889
0.26,0.8057553956834532,1.0,0.9363207547169812,0.8924302788844622,0.9540034071550256,0.9363207547169812,112,27,0,397,0.8924302788844622
0.27,0.8175182481751825,1.0,0.9410377358490566,0.8995983935742973,0.9572649572649574,0.9410377358490565,112,25,0,399,0.8995983935742973
0.28,0.8345864661654135,0.9910714285714286,0.9481132075471698,0.9061224489795919,0.955249569707401,0.9391846361185983,111,22,1,402,0.9061224489795919
0.29,0.8527131782945736,0.9821428571428571,0.9551886792452831,0.9128630705394191,0.9532062391681109,0.93733153638814,110,19,2,405,0.9128630705394191
0.3,0.8661417322834646,0.9821428571428571,0.9599056603773585,0.9205020920502093,0.9565217391304349,0.9420485175202156,110,17,2,407,0.9205020920502093
0.31,0.88,0.9821428571428571,0.964622641509434,0.9282700421940928,0.9598603839441535,0.9467654986522911,110,15,2,409,0.9282700421940928
0.32,0.8870967741935484,0.9821428571428571,0.9669811320754716,0.9322033898305085,0.9615384615384615,0.9491239892183287,110,14,2,410,0.9322033898305085
0.33,0.8925619834710744,0.9642857142857143,0.9693396226415094,0.927038626609442,0.9490333919156416,0.9336253369272236,108,13,4,411,0.927038626609442
0.34,0.8983050847457628,0.9464285714285714,0.9716981132075472,0.9217391304347826,0.9363957597173146,0.9181266846361185,106,12,6,412,0.9217391304347826
0.35,0.9122807017543859,0.9285714285714286,0.9764150943396226,0.9203539823008849,0.9252669039145908,0.9049865229110512,104,10,8,414,0.9203539823008849
0.36,0.9203539823008849,0.9285714285714286,0.9787735849056604,0.9244444444444444,0.9269162210338682,0.9073450134770891,104,9,8,415,0.9244444444444444
0.37,0.9203539823008849,0.9285714285714286,0.9787735849056604,0.9244444444444444,0.9269162210338682,0.9073450134770891,104,9,8,415,0.9244444444444444
0.38,0.9285714285714286,0.9285714285714286,0.9811320754716981,0.9285714285714286,0.9285714285714286,0.9097035040431267,104,8,8,416,0.9285714285714286
0.39,0.9357798165137615,0.9107142857142857,0.9834905660377359,0.9230769230769231,0.9156193895870735,0.8942048517520216,102,7,10,417,0.9230769230769231
0.4,0.9444444444444444,0.9107142857142857,0.9858490566037735,0.9272727272727271,0.9172661870503598,0.8965633423180592,102,6,10,418,0.9272727272727271
0.41,0.9439252336448598,0.9017857142857143,0.9858490566037735,0.9223744292237444,0.9099099099099099,0.8876347708894878,101,6,11,418,0.9223744292237444
0.42,0.9514563106796117,0.875,0.9882075471698113,0.9116279069767441,0.8892921960072596,0.8632075471698113,98,5,14,419,0.9116279069767441
0.43,0.9509803921568627,0.8660714285714286,0.9882075471698113,0.9065420560747663,0.881818181818182,0.8542789757412399,97,5,15,419,0.9065420560747663
0.44,0.95,0.8482142857142857,0.9882075471698113,0.8962264150943395,0.8667883211678832,0.8364218328840969,95,5,17,419,0.8962264150943395
0.45,0.9484536082474226,0.8214285714285714,0.9882075471698113,0.8803827751196172,0.8440366972477065,0.8096361185983827,92,5,20,419,0.8803827751196172
0.46,0.9578947368421052,0.8125,0.9905660377358491,0.8792270531400966,0.837937384898711,0.803066037735849,91,4,21,420,0.8792270531400966
0.47,0.9574468085106383,0.8035714285714286,0.9905660377358491,0.8737864077669905,0.8302583025830259,0.7941374663072778,90,4,22,420,0.8737864077669905
0.48,0.967741935483871,0.8035714285714286,0.9929245283018868,0.878048780487805,0.8317929759704251,0.7964959568733154,90,3,22,421,0.878048780487805
0.49,0.967741935483871,0.8035714285714286,0.9929245283018868,0.878048780487805,0.8317929759704251,0.7964959568733154,90,3,22,421,0.878048780487805
0.5,0.967741935483871,0.8035714285714286,0.9929245283018868,0.878048780487805,0.8317929759704251,0.7964959568733154,90,3,22,421,0.878048780487805
0.51,0.967032967032967,0.7857142857142857,0.9929245283018868,0.8669950738916256,0.8163265306122447,0.7786388140161726,88,3,24,421,0.8669950738916256
0.52,0.9662921348314607,0.7678571428571429,0.9929245283018868,0.8557213930348259,0.8007448789571695,0.7607816711590298,86,3,26,421,0.8557213930348259
0.53,0.9767441860465116,0.75,0.9952830188679245,0.8484848484848485,0.7865168539325843,0.7452830188679245,84,2,28,422,0.8484848484848485
0.54,0.9880952380952381,0.7410714285714286,0.9976415094339622,0.8469387755102041,0.7800751879699248,0.7387129380053907,83,1,29,423,0.8469387755102041
0.55,0.9878048780487805,0.7232142857142857,0.9976415094339622,0.8350515463917526,0.7641509433962265,0.7208557951482479,81,1,31,423,0.8350515463917526
0.56,0.9876543209876543,0.7142857142857143,0.9976415094339622,0.8290155440414507,0.7561436672967864,0.7119272237196765,80,1,32,423,0.8290155440414507
0.57,0.9875,0.7053571428571429,0.9976415094339622,0.8229166666666667,0.7481060606060606,0.7029986522911051,79,1,33,423,0.8229166666666667
0.58,0.987012987012987,0.6785714285714286,0.9976415094339622,0.8042328042328042,0.7238095238095239,0.6762129380053907,76,1,36,423,0.8042328042328042
0.59,0.987012987012987,0.6785714285714286,0.9976415094339622,0.8042328042328042,0.7238095238095239,0.6762129380053907,76,1,36,423,0.8042328042328042
0.6,0.9868421052631579,0.6696428571428571,0.9976415094339622,0.7978723404255319,0.7156488549618321,0.6672843665768193,75,1,37,423,0.7978723404255319
