Model,Window_Start,Window_End,Months,Positives,AUC,PR_AUC,Brier,Precision,Recall,F1,Specificity,Youdens_J,TP,FP,FN,TN
ensemble,2014-01-31,2016-12-31,36,0,,,0.0025671620928738818,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-02-28,2017-01-31,36,0,,,0.0027744969751035955,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-03-31,2017-02-28,36,0,,,0.003002604476241292,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-04-30,2017-03-31,36,0,,,0.0033600609260338865,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-05-31,2017-04-30,36,0,,,0.0035253236874095728,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-06-30,2017-05-31,36,0,,,0.0039237272823321664,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-07-31,2017-06-30,36,0,,,0.004171401906682153,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-08-31,2017-07-31,36,0,,,0.004493391825495593,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-09-30,2017-08-31,36,0,,,0.004940207127231389,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-10-31,2017-09-30,36,0,,,0.005622983487322209,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-11-30,2017-10-31,36,0,,,0.006395830550422125,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2014-12-31,2017-11-30,36,0,,,0.007307205942698732,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-01-31,2017-12-31,36,0,,,0.008623193958853628,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-02-28,2018-01-31,36,0,,,0.00946972658374116,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-03-31,2018-02-28,36,0,,,0.010337963666958258,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-04-30,2018-03-31,36,0,,,0.011102003748334031,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-05-31,2018-04-30,36,0,,,0.012013179973562972,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-06-30,2018-05-31,36,0,,,0.013517770691155263,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-07-31,2018-06-30,36,0,,,0.014744939897772754,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-08-31,2018-07-31,36,0,,,0.01597199763628105,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-09-30,2018-08-31,36,0,,,0.01720676500114429,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2015-10-31,2018-09-30,36,1,0.8857142857142858,0.16666666666666666,0.03448773154168435,0.0,0.0,0.0,1.0,0.0,0,0,1,35
ensemble,2015-11-30,2018-10-31,36,2,0.9411764705882353,0.6428571428571428,0.048303454875275466,0.0,0.0,0.0,1.0,0.0,0,0,2,34
ensemble,2015-12-31,2018-11-30,36,3,0.9595959595959597,0.7916666666666666,0.059515540177854195,0.0,0.0,0.0,1.0,0.0,0,0,3,33
ensemble,2016-01-31,2018-12-31,36,4,0.96875,0.8611111111111112,0.06858665393369989,0.0,0.0,0.0,1.0,0.0,0,0,4,32
ensemble,2016-02-29,2019-01-31,36,5,0.9741935483870968,0.8999999999999999,0.07749479579497003,1.0,0.2,0.33333333333333337,1.0,0.19999999999999996,1,0,4,31
ensemble,2016-03-31,2019-02-28,36,6,0.9777777777777779,0.9242424242424242,0.08846209082757886,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666674,1,0,5,30
ensemble,2016-04-30,2019-03-31,36,7,0.9802955665024631,0.9404761904761902,0.10064388372262588,1.0,0.14285714285714285,0.25,1.0,0.1428571428571428,1,0,6,29
ensemble,2016-05-31,2019-04-30,36,8,0.9821428571428571,0.9519230769230769,0.1102933946655999,1.0,0.125,0.2222222222222222,1.0,0.125,1,0,7,28
ensemble,2016-06-30,2019-05-31,36,9,0.9835390946502058,0.9603174603174605,0.11906043776638617,1.0,0.1111111111111111,0.19999999999999998,1.0,0.11111111111111116,1,0,8,27
ensemble,2016-07-31,2019-06-30,36,10,0.9846153846153847,0.9666666666666667,0.123731108539715,1.0,0.2,0.33333333333333337,1.0,0.19999999999999996,2,0,8,26
ensemble,2016-08-31,2019-07-31,36,11,0.9854545454545455,0.9715909090909091,0.1335843348811766,1.0,0.18181818181818182,0.3076923076923077,1.0,0.18181818181818188,2,0,9,25
ensemble,2016-09-30,2019-08-31,36,12,0.986111111111111,0.9754901960784312,0.14127077384434059,1.0,0.25,0.4,1.0,0.25,3,0,9,24
ensemble,2016-10-31,2019-09-30,36,13,0.9866220735785953,0.9786324786324787,0.14994252305568617,1.0,0.3076923076923077,0.47058823529411764,1.0,0.3076923076923077,4,0,9,23
ensemble,2016-11-30,2019-10-31,36,14,0.987012987012987,0.981203007518797,0.16053841738185334,1.0,0.2857142857142857,0.4444444444444445,1.0,0.2857142857142856,4,0,10,22
ensemble,2016-12-31,2019-11-30,36,15,0.9873015873015873,0.9833333333333334,0.17111935397000214,1.0,0.26666666666666666,0.4210526315789474,1.0,0.2666666666666666,4,0,11,21
ensemble,2017-01-31,2019-12-31,36,16,0.9875,0.9851190476190477,0.181552415987063,1.0,0.25,0.4,1.0,0.25,4,0,12,20
ensemble,2017-02-28,2020-01-31,36,17,0.9876160990712075,0.9866310160427807,0.19678073668627827,1.0,0.23529411764705882,0.38095238095238093,1.0,0.23529411764705888,4,0,13,19
ensemble,2017-03-31,2020-02-29,36,18,0.9876543209876543,0.9879227053140097,0.2030973031010756,1.0,0.2777777777777778,0.4347826086956522,1.0,0.2777777777777777,5,0,13,18
ensemble,2017-04-30,2020-03-31,36,19,0.9876160990712074,0.9890350877192982,0.20381302107760246,1.0,0.3157894736842105,0.4799999999999999,1.0,0.3157894736842106,6,0,13,17
ensemble,2017-05-31,2020-04-30,36,19,0.9287925696594427,0.8532768601503326,0.2218180399599014,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.9411764705882353,0.2569659442724457,6,1,13,16
ensemble,2017-06-30,2020-05-31,36,19,0.8761609907120743,0.7825591184113263,0.22967478683431614,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2017-07-31,2020-06-30,36,19,0.8637770897832817,0.7740621111608564,0.2328885799514025,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2017-08-31,2020-07-31,36,19,0.8637770897832817,0.7740621111608564,0.23297738529648862,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2017-09-30,2020-08-31,36,19,0.8637770897832817,0.7740621111608564,0.23259619839362347,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2017-10-31,2020-09-30,36,19,0.8637770897832817,0.7740621111608564,0.23192191213182317,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2017-11-30,2020-10-31,36,19,0.8637770897832817,0.7740621111608564,0.23115755516701375,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2017-12-31,2020-11-30,36,19,0.8637770897832817,0.7740621111608564,0.23025466987302762,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2018-01-31,2020-12-31,36,19,0.8668730650154799,0.7754866125853579,0.22895467546550105,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2018-02-28,2021-01-31,36,19,0.8668730650154799,0.7754866125853579,0.22812070367576753,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
ensemble,2018-03-31,2021-02-28,36,19,0.8668730650154799,0.7754866125853579,0.22720050625943367,0.75,0.3157894736842105,0.44444444444444436,0.8823529411764706,0.19814241486068118,6,2,13,15
