threshold,precision,recall,specificity,f1,f2,youdens_j,tp,fp,fn,tn,score
0.1,0.662962962962963,1.0,0.7392550143266475,0.7973273942093542,0.907707910750507,0.7392550143266474,179,91,0,258,0.7973273942093542
0.11,0.667910447761194,1.0,0.7449856733524355,0.8008948545861297,0.9095528455284553,0.7449856733524354,179,89,0,260,0.8008948545861297
0.12,0.6754716981132075,1.0,0.7535816618911175,0.8063063063063062,0.9123343527013252,0.7535816618911175,179,86,0,263,0.8063063063063062
0.13,0.6806083650190115,1.0,0.7593123209169055,0.8099547511312218,0.9141981613891726,0.7593123209169055,179,84,0,265,0.8099547511312218
0.14,0.7019607843137254,1.0,0.7822349570200573,0.8248847926267281,0.92173017507724,0.7822349570200573,179,76,0,273,0.8248847926267281
0.15,0.7131474103585658,1.0,0.7936962750716332,0.8325581395348838,0.9255429162357809,0.7936962750716332,179,72,0,277,0.8325581395348838
0.16,0.7246963562753036,1.0,0.8051575931232091,0.84037558685446,0.9293873312564902,0.8051575931232091,179,68,0,281,0.84037558685446
0.17,0.7396694214876033,1.0,0.8194842406876791,0.8503562945368172,0.9342379958246346,0.8194842406876792,179,63,0,286,0.8503562945368172
0.18,0.7510548523206751,0.994413407821229,0.830945558739255,0.8557692307692307,0.9338929695697796,0.8253589665604841,178,59,1,290,0.8557692307692307
0.19,0.7489361702127659,0.9832402234636871,0.830945558739255,0.8502415458937197,0.9253417455310201,0.8141857822029421,176,59,3,290,0.8502415458937197
0.2,0.7478632478632479,0.9776536312849162,0.830945558739255,0.8474576271186441,0.9210526315789475,0.8085991900241711,175,59,4,290,0.8474576271186441
0.21,0.7709251101321586,0.9776536312849162,0.8510028653295129,0.8620689655172414,0.9278897136797456,0.8286564966144292,175,52,4,297,0.8620689655172414
0.22,0.8333333333333334,0.9776536312849162,0.8997134670487106,0.8997429305912598,0.9449244060475162,0.8773670983336268,175,35,4,314,0.8997429305912598
0.23,0.8454106280193237,0.9776536312849162,0.9083094555873925,0.9067357512953368,0.9479956663055256,0.8859630868723087,175,32,4,317,0.9067357512953368
0.24,0.8620689655172413,0.9776536312849162,0.9197707736389685,0.9162303664921466,0.9521218715995646,0.8974244049238846,175,28,4,321,0.9162303664921466
0.25,0.8620689655172413,0.9776536312849162,0.9197707736389685,0.9162303664921466,0.9521218715995646,0.8974244049238846,175,28,4,321,0.9162303664921466
0.26,0.8620689655172413,0.9776536312849162,0.9197707736389685,0.9162303664921466,0.9521218715995646,0.8974244049238846,175,28,4,321,0.9162303664921466
0.27,0.8656716417910447,0.9720670391061452,0.9226361031518625,0.9157894736842105,0.9487459105779714,0.8947031422580078,174,27,5,322,0.9157894736842105
0.28,0.883248730964467,0.9720670391061452,0.9340974212034384,0.925531914893617,0.9529025191675794,0.9061644603095838,174,23,5,326,0.925531914893617
0.29,0.8917525773195877,0.9664804469273743,0.9398280802292264,0.9276139410187668,0.9505494505494506,0.9063085271566007,173,21,6,328,0.9276139410187668
0.3,0.8963730569948186,0.9664804469273743,0.9426934097421203,0.9301075268817204,0.9515951595159516,0.9091738566694947,173,20,6,329,0.9301075268817204
0.31,0.9057591623036649,0.9664804469273743,0.9484240687679083,0.9351351351351351,0.9536934950385889,0.9149045156952826,173,18,6,331,0.9351351351351351
0.32,0.9202127659574468,0.9664804469273743,0.9570200573065902,0.9427792915531337,0.9568584070796462,0.9235005042339646,173,15,6,334,0.9427792915531337
0.33,0.9202127659574468,0.9664804469273743,0.9570200573065902,0.9427792915531337,0.9568584070796462,0.9235005042339646,173,15,6,334,0.9427792915531337
0.34,0.9251336898395722,0.9664804469273743,0.9598853868194842,0.9453551912568307,0.9579180509413067,0.9263658337468585,173,14,6,335,0.9453551912568307
0.35,0.9251336898395722,0.9664804469273743,0.9598853868194842,0.9453551912568307,0.9579180509413067,0.9263658337468585,173,14,6,335,0.9453551912568307
0.36,0.9301075268817204,0.9664804469273743,0.9627507163323782,0.947945205479452,0.958980044345898,0.9292311632597525,173,13,6,336,0.947945205479452
0.37,0.9351351351351351,0.9664804469273743,0.9656160458452722,0.9505494505494506,0.9600443951165373,0.9320964927726465,173,12,6,337,0.9505494505494506
0.38,0.9402173913043478,0.9664804469273743,0.9684813753581661,0.953168044077135,0.9611111111111111,0.9349618222855405,173,11,6,338,0.953168044077135
0.39,0.9555555555555556,0.9608938547486033,0.9770773638968482,0.958217270194986,0.9598214285714285,0.9379712186454516,172,8,7,341,0.958217270194986
0.4,0.9553072625698324,0.9553072625698324,0.9770773638968482,0.9553072625698324,0.9553072625698324,0.9323846264666806,171,8,8,341,0.9553072625698324
0.41,0.9553072625698324,0.9553072625698324,0.9770773638968482,0.9553072625698324,0.9553072625698324,0.9323846264666806,171,8,8,341,0.9553072625698324
0.42,0.9606741573033708,0.9553072625698324,0.9799426934097422,0.957983193277311,0.9563758389261747,0.9352499559795746,171,7,8,342,0.957983193277311
0.43,0.9606741573033708,0.9553072625698324,0.9799426934097422,0.957983193277311,0.9563758389261747,0.9352499559795746,171,7,8,342,0.957983193277311
0.44,0.9661016949152542,0.9553072625698324,0.9828080229226361,0.9606741573033708,0.9574468085106382,0.9381152854924686,171,6,8,343,0.9606741573033708
0.45,0.9659090909090909,0.9497206703910615,0.9828080229226361,0.9577464788732395,0.9529147982062781,0.9325286933136976,170,6,9,343,0.9577464788732395
0.46,0.9659090909090909,0.9497206703910615,0.9828080229226361,0.9577464788732395,0.9529147982062781,0.9325286933136976,170,6,9,343,0.9577464788732395
0.47,0.9714285714285714,0.9497206703910615,0.9856733524355301,0.9604519774011299,0.9539842873176205,0.9353940228265916,170,5,9,344,0.9604519774011299
0.48,0.9710982658959537,0.9385474860335196,0.9856733524355301,0.9545454545454546,0.9448818897637794,0.9242208384690498,168,5,11,344,0.9545454545454546
0.49,0.9705882352941176,0.9217877094972067,0.9856733524355301,0.9455587392550143,0.9311512415349886,0.9074610619327368,165,5,14,344,0.9455587392550143
0.5,0.9705882352941176,0.9217877094972067,0.9856733524355301,0.9455587392550143,0.9311512415349886,0.9074610619327368,165,5,14,344,0.9455587392550143
0.51,0.9760479041916168,0.9106145251396648,0.9885386819484241,0.9421965317919075,0.9229898074745186,0.899153207088089,163,4,16,345,0.9421965317919075
0.52,0.9759036144578314,0.9050279329608939,0.9885386819484241,0.9391304347826086,0.9183673469387758,0.893566614909318,162,4,17,345,0.9391304347826086
0.53,0.9759036144578314,0.9050279329608939,0.9885386819484241,0.9391304347826086,0.9183673469387758,0.893566614909318,162,4,17,345,0.9391304347826086
0.54,0.9815950920245399,0.8938547486033519,0.9914040114613181,0.935672514619883,0.9101251422070535,0.88525876006467,160,3,19,346,0.935672514619883
0.55,0.9815950920245399,0.8938547486033519,0.9914040114613181,0.935672514619883,0.9101251422070535,0.88525876006467,160,3,19,346,0.935672514619883
0.56,0.9813664596273292,0.88268156424581,0.9914040114613181,0.9294117647058824,0.9007981755986316,0.8740855757071282,158,3,21,346,0.9294117647058824
0.57,0.9875,0.88268156424581,0.994269340974212,0.9321533923303834,0.9018264840182648,0.876950905220022,158,2,21,347,0.9321533923303834
0.58,0.9875,0.88268156424581,0.994269340974212,0.9321533923303834,0.9018264840182648,0.876950905220022,158,2,21,347,0.9321533923303834
0.59,0.9874213836477987,0.8770949720670391,0.994269340974212,0.9289940828402367,0.8971428571428574,0.8713643130412512,157,2,22,347,0.9289940828402367
0.6,0.9873417721518988,0.8715083798882681,0.994269340974212,0.9258160237388724,0.8924485125858124,0.8657777208624802,156,2,23,347,0.9258160237388724
