threshold,precision,recall,specificity,f1,f2,youdens_j,tp,fp,fn,tn,score
0.1,0.7,1.0,0.8867924528301887,0.8235294117647058,0.9210526315789475,0.8867924528301887,112,48,0,376,0.8235294117647058
0.11,0.717948717948718,1.0,0.8962264150943396,0.835820895522388,0.9271523178807948,0.8962264150943398,112,44,0,380,0.835820895522388
0.12,0.7225806451612903,1.0,0.8985849056603774,0.8389513108614232,0.9286898839137645,0.8985849056603774,112,43,0,381,0.8389513108614232
0.13,0.7320261437908496,1.0,0.9033018867924528,0.8452830188679245,0.9317803660565724,0.9033018867924527,112,41,0,383,0.8452830188679245
0.14,0.7368421052631579,1.0,0.9056603773584906,0.8484848484848484,0.9333333333333333,0.9056603773584906,112,40,0,384,0.8484848484848484
0.15,0.7368421052631579,1.0,0.9056603773584906,0.8484848484848484,0.9333333333333333,0.9056603773584906,112,40,0,384,0.8484848484848484
0.16,0.7417218543046358,1.0,0.9080188679245284,0.8517110266159695,0.9348914858096828,0.9080188679245285,112,39,0,385,0.8517110266159695
0.17,0.7466666666666667,1.0,0.910377358490566,0.8549618320610688,0.9364548494983277,0.9103773584905661,112,38,0,386,0.8549618320610688
0.18,0.7619047619047619,1.0,0.9174528301886793,0.8648648648648648,0.9411764705882353,0.9174528301886793,112,35,0,389,0.8648648648648648
0.19,0.7619047619047619,1.0,0.9174528301886793,0.8648648648648648,0.9411764705882353,0.9174528301886793,112,35,0,389,0.8648648648648648
0.2,0.7671232876712328,1.0,0.9198113207547169,0.8682170542635659,0.9427609427609428,0.9198113207547169,112,34,0,390,0.8682170542635659
0.21,0.7887323943661971,1.0,0.9292452830188679,0.8818897637795275,0.9491525423728814,0.9292452830188678,112,30,0,394,0.8818897637795275
0.22,0.7887323943661971,1.0,0.9292452830188679,0.8818897637795275,0.9491525423728814,0.9292452830188678,112,30,0,394,0.8818897637795275
0.23,0.8175182481751825,1.0,0.9410377358490566,0.8995983935742973,0.9572649572649574,0.9410377358490565,112,25,0,399,0.8995983935742973
0.24,0.8175182481751825,1.0,0.9410377358490566,0.8995983935742973,0.9572649572649574,0.9410377358490565,112,25,0,399,0.8995983935742973
0.25,0.8235294117647058,1.0,0.9433962264150944,0.9032258064516129,0.958904109589041,0.9433962264150944,112,24,0,400,0.9032258064516129
0.26,0.8283582089552238,0.9910714285714286,0.9457547169811321,0.9024390243902439,0.9536082474226805,0.9368261455525606,111,23,1,401,0.9024390243902439
0.27,0.8345864661654135,0.9910714285714286,0.9481132075471698,0.9061224489795919,0.955249569707401,0.9391846361185983,111,22,1,402,0.9061224489795919
0.28,0.8538461538461538,0.9910714285714286,0.9551886792452831,0.9173553719008265,0.9602076124567476,0.9462601078167117,111,19,1,405,0.9173553719008265
0.29,0.8538461538461538,0.9910714285714286,0.9551886792452831,0.9173553719008265,0.9602076124567476,0.9462601078167117,111,19,1,405,0.9173553719008265
0.3,0.8604651162790697,0.9910714285714286,0.9575471698113207,0.9211618257261411,0.9618717504332754,0.9486185983827493,111,18,1,406,0.9211618257261411
0.31,0.8671875,0.9910714285714286,0.9599056603773585,0.9249999999999999,0.9635416666666666,0.950977088948787,111,17,1,407,0.9249999999999999
0.32,0.8661417322834646,0.9821428571428571,0.9599056603773585,0.9205020920502093,0.9565217391304349,0.9420485175202156,110,17,2,407,0.9205020920502093
0.33,0.8661417322834646,0.9821428571428571,0.9599056603773585,0.9205020920502093,0.9565217391304349,0.9420485175202156,110,17,2,407,0.9205020920502093
0.34,0.8916666666666667,0.9553571428571429,0.9693396226415094,0.9224137931034484,0.9419014084507044,0.9246967654986524,107,13,5,411,0.9224137931034484
0.35,0.8907563025210085,0.9464285714285714,0.9693396226415094,0.9177489177489176,0.9347442680776012,0.9157681940700808,106,13,6,411,0.9177489177489176
