Date,Label,Revised_Prob,Vintage_Prob,Difference,Columns_Replaced_With_ALFRED,Revised_Threshold,Vintage_Threshold,Candidate_ID
2007-06,Pre-GFC,0.6446486805859667,0.25152783108892274,0.39312084949704396,16,0.38,0.44,conservative_40
2007-12,GFC peak month,0.6182916603063435,0.37222222222222223,0.2460694380841213,16,0.44,0.49,conservative_40
2019-12,Pre-COVID,0.0,0.11012987012987013,-0.11012987012987013,18,0.42,0.44,conservative_40
2020-03,COVID shock month,0.05,0.019753086419753083,0.03024691358024692,18,0.27,0.4,conservative_40
2024-06,Recent cycle,0.35982879868163564,0.38559466744388443,-0.02576586876224879,18,0.57,0.54,conservative_40
2007-06,Pre-GFC,0.5291759294716487,0.4535594752208308,0.07561645425081792,16,0.44,0.45,richer_60
2007-12,GFC peak month,0.6208333333333333,0.5917482517482517,0.029085081585081607,16,0.45,0.43,richer_60
2019-12,Pre-COVID,0.14337662337662338,0.2988000797986877,-0.15542345642206434,18,0.57,0.54,richer_60
2020-03,COVID shock month,0.12870813397129185,0.03474747474747475,0.0939606592238171,18,0.39,0.47,richer_60
2024-06,Recent cycle,0.19735684627157712,0.2495413359619521,-0.05218448969037498,18,0.51,0.56,richer_60
